func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
polynomial_with_labels,True,100.0,3.81,3.463731527328491,1.7767515182495117,103,SVM (RBF),0.9941176470588236,0.4444444444444444,0.43645890348476557,0.7063703703703703,0.39118242263793945,,,,
polynomial_with_labels,True,100.0,3.81,3.463731527328491,1.7767515182495117,103,Random Forest,1.0,0.5888888888888889,0.5890123534019804,0.8149629629629629,1.0003888607025146,,,,
polynomial_with_labels,True,100.0,3.81,3.463731527328491,1.7767515182495117,103,MLP,0.8803921568627451,0.4444444444444444,0.43684371184371174,0.7445925925925926,3.521920919418335,,,,
polynomial,False,150.0,3.81,3.4276602268218994,2.0948972702026367,150,SVM (RBF),0.9980392156862745,0.35555555555555557,0.3521570397596901,0.669037037037037,0.4883604049682617,,,,
polynomial,False,150.0,3.81,3.4276602268218994,2.0948972702026367,150,Random Forest,1.0,0.5444444444444444,0.5395044391663729,0.7845185185185187,0.9763000011444092,,,,
polynomial,False,150.0,3.81,3.4276602268218994,2.0948972702026367,150,MLP,0.807843137254902,0.4,0.39547943200117114,0.7225185185185186,1.9946722984313965,,,,
polynomial_with_labels,True,150.0,3.81,3.4276602268218994,2.0948972702026367,153,SVM (RBF),0.9980392156862745,0.4222222222222222,0.4215051997810618,0.6973333333333334,0.5057334899902344,,,,
polynomial_with_labels,True,150.0,3.81,3.4276602268218994,2.0948972702026367,153,Random Forest,1.0,0.5222222222222223,0.5229784769296264,0.801111111111111,1.0935947895050049,,,,
polynomial_with_labels,True,150.0,3.81,3.4276602268218994,2.0948972702026367,153,MLP,0.9431372549019608,0.4111111111111111,0.406174141950004,0.7471111111111112,3.667522430419922,,,,
naive_hybrid,False,,,,,150,SVM (RBF),0.9784313725490196,0.43333333333333335,0.4223357599234177,0.6989629629629629,0.4822251796722412,50.0,30.3,100.0,3.81
naive_hybrid,False,,,,,150,Random Forest,1.0,0.4666666666666667,0.4662103174603175,0.7865185185185185,1.0281593799591064,50.0,30.3,100.0,3.81
naive_hybrid,False,,,,,150,MLP,0.9098039215686274,0.4777777777777778,0.4663374249287562,0.7362962962962963,3.1534948348999023,50.0,30.3,100.0,3.81
naive_hybrid_with_labels,True,,,,,153,SVM (RBF),0.9901960784313726,0.4888888888888889,0.48452559953261215,0.7149629629629628,0.49753880500793457,50.0,30.3,100.0,3.81
naive_hybrid_with_labels,True,,,,,153,Random Forest,1.0,0.5111111111111111,0.5132890804933815,0.8140740740740741,1.0946178436279297,50.0,30.3,100.0,3.81
naive_hybrid_with_labels,True,,,,,153,MLP,0.6862745098039216,0.4444444444444444,0.42593883081687955,0.7358518518518518,1.945298433303833,50.0,30.3,100.0,3.81
