func,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
polynomial,50.0,3.13,9.938297986984253,1.8804101943969727,50,Random Forest,0.6376470588235295,0.48444444444444446,0.4770723943996653,0.6657777777777777,0.5013172626495361,,,,
polynomial,50.0,3.13,9.938297986984253,1.8804101943969727,50,MLP,0.5929411764705882,0.4488888888888889,0.4251523675574308,0.6231703703703704,1.0558154582977295,,,,
polynomial,100.0,3.13,7.107028245925903,2.9341211318969727,100,SVM (RBF),0.6368627450980392,0.4711111111111111,0.45829052034250395,0.6306370370370371,1.156191110610962,,,,
polynomial,100.0,3.13,7.107028245925903,2.9341211318969727,100,Random Forest,0.6376470588235295,0.48,0.46344235582203497,0.666814814814815,0.49990248680114746,,,,
polynomial,100.0,3.13,7.107028245925903,2.9341211318969727,100,MLP,0.6031372549019608,0.43555555555555553,0.4252459908111626,0.6275407407407407,0.5115282535552979,,,,
polynomial,150.0,3.13,7.223690986633301,3.987595558166504,150,SVM (RBF),0.6376470588235295,0.4666666666666667,0.4527629342061861,0.6128592592592592,1.5453343391418457,,,,
polynomial,150.0,3.13,7.223690986633301,3.987595558166504,150,Random Forest,0.6376470588235295,0.49333333333333335,0.47810088253757255,0.6690962962962964,0.5200293064117432,,,,
polynomial,150.0,3.13,7.223690986633301,3.987595558166504,150,MLP,0.5631372549019608,0.48,0.4586928868566714,0.6458074074074074,0.34789490699768066,,,,
polynomial,200.0,3.13,6.726002931594849,5.041268348693848,200,SVM (RBF),0.6376470588235295,0.47555555555555556,0.460952380952381,0.6384000000000001,2.3060030937194824,,,,
polynomial,200.0,3.13,6.726002931594849,5.041268348693848,200,Random Forest,0.6376470588235295,0.49777777777777776,0.48183520599250934,0.6687703703703705,0.6767308712005615,,,,
polynomial,200.0,3.13,6.726002931594849,5.041268348693848,200,MLP,0.5835294117647059,0.4488888888888889,0.42678551604382803,0.6343703703703705,0.6634728908538818,,,,
polynomial,250.0,3.13,7.36248254776001,6.124436378479004,250,SVM (RBF),0.6376470588235295,0.4444444444444444,0.43516473169989783,0.628325925925926,2.7161874771118164,,,,
polynomial,250.0,3.13,7.36248254776001,6.124436378479004,250,Random Forest,0.6376470588235295,0.49333333333333335,0.4782260198284852,0.6619259259259259,0.710362434387207,,,,
polynomial,250.0,3.13,7.36248254776001,6.124436378479004,250,MLP,0.6141176470588235,0.47555555555555556,0.4661603629345565,0.6339703703703703,1.4618096351623535,,,,
naive_hybrid,,,,,350,SVM (RBF),0.6376470588235295,0.4666666666666667,0.45734683852535846,0.6211259259259259,3.5469725131988525,150.0,3.52,200.0,3.13
naive_hybrid,,,,,350,Random Forest,0.6376470588235295,0.5022222222222222,0.48952157149978126,0.6733925925925927,0.5601530075073242,150.0,3.52,200.0,3.13
naive_hybrid,,,,,350,MLP,0.5882352941176471,0.5022222222222222,0.48981572705710635,0.6545481481481481,0.47685670852661133,150.0,3.52,200.0,3.13
