config_name,normalization,pca_variance,pca_components,kmeans_n_init,spectral_n_neighbors,spectral_affinity,method,ari,silhouette,umap_ari,umap_silhouette,embed_time,func,bins,range,harm_bins,harm_range,pol_bins,pol_range
harmonic_150_3.52,standard,0.99,78,10,15,nearest_neighbors,K-Means,0.0010016862173258595,0.6608789710452264,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,10,15,nearest_neighbors,Spectral,0.004981478298750313,-0.05671035141179669,-0.000596857842504897,-0.0734626,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,10,20,nearest_neighbors,K-Means,0.0010016862173258595,0.6608789710452264,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,10,20,nearest_neighbors,Spectral,0.008096975360506612,-0.03434810863442401,0.00029034791894006303,-0.2428997,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,50,10,nearest_neighbors,K-Means,0.0010152947454867638,0.638872719015903,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,50,10,nearest_neighbors,Spectral,0.005745372474584691,-0.06746127089799098,-0.00018452042557206853,-0.23788297,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,50,15,nearest_neighbors,K-Means,0.0010152947454867638,0.638872719015903,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,50,15,nearest_neighbors,Spectral,0.004981478298750313,-0.05671035141179669,0.0011943201131375846,-0.16984373,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,50,20,nearest_neighbors,K-Means,0.0010152947454867638,0.638872719015903,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,50,20,nearest_neighbors,Spectral,0.008096975360506612,-0.03434810863442401,0.00029034791894006303,-0.2428997,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,10,10,nearest_neighbors,K-Means,0.0008431125899333917,0.6484786203190605,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,10,10,nearest_neighbors,Spectral,0.005745372474584691,-0.06466091247615502,0.010845512246461658,-0.032337613,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,10,15,nearest_neighbors,K-Means,0.0008431125899333917,0.6484786203190605,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,10,15,nearest_neighbors,Spectral,0.005229358831680585,-0.05455919900358618,0.0022323513993082298,-0.15653762,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,10,20,nearest_neighbors,K-Means,0.0008431125899333917,0.6484786203190605,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,10,20,nearest_neighbors,Spectral,0.004115266004336989,0.04178892943426435,0.00029034791894006303,-0.2428997,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,50,10,nearest_neighbors,K-Means,0.0009881893777527115,0.6464986435997803,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,50,10,nearest_neighbors,Spectral,0.005745372474584691,-0.06466091247615502,9.097309023154187e-05,-0.24112073,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,50,15,nearest_neighbors,K-Means,0.0009881893777527115,0.6464986435997803,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,50,15,nearest_neighbors,Spectral,0.005229358831680585,-0.05455919900358618,0.0013590093995274005,0.095574535,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,50,20,nearest_neighbors,K-Means,0.0009881893777527115,0.6464986435997803,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,none,0.95,64,50,20,nearest_neighbors,Spectral,0.004115266004336989,0.04178892943426435,0.00029034791894006303,-0.2428997,2.8140711784362793,harmonic,150.0,3.52,,,,
