ratio,perturbation_type,perturb_time,embed_time,mean_cosine_similarity,std_cosine_similarity,min_cosine_similarity,median_cosine_similarity,mean_l2_distance,mean_relative_change,std_relative_change,rf_acc_original,rf_acc_perturbed,rf_acc_drop,rf_acc_drop_pct,func,with_node_labels,raw_mode,bins,range,harm_bins,harm_range,pol_bins,pol_range
0.01,edge_add,0.2799403667449951,1.460073709487915,0.9415905978025133,0.10509468631009539,0.13315591032282686,0.978788312228772,63.71510361834116,0.270493683039827,0.2012819609949911,0.5111111111111111,0.5,0.011111111111111072,2.173913043478253,polynomial,False,True,150.0,3.81,,,,
0.05,edge_add,0.15266704559326172,1.3662309646606445,0.8938760474929518,0.09640180152834801,0.13315591032282686,0.920636754859495,141.80600977021766,0.42822159558749573,0.15805284226435734,0.5111111111111111,0.37777777777777777,0.1333333333333333,26.086956521739125,polynomial,False,True,150.0,3.81,,,,
0.1,edge_add,0.16957306861877441,1.382917881011963,0.7296047810768077,0.1280115946842493,0.13315591032282686,0.7438452818049042,244.85061339587554,0.7019157326912235,0.16895320867660915,0.5111111111111111,0.4,0.11111111111111105,21.7391304347826,polynomial,False,True,150.0,3.81,,,,
0.2,edge_add,0.23244261741638184,1.3966484069824219,0.44205552345026594,0.16563455695669063,0.06635852786151013,0.43092663443252693,376.08854498979207,1.0168138280882046,0.15916144413194513,0.5111111111111111,0.35555555555555557,0.1555555555555555,30.43478260869564,polynomial,False,True,150.0,3.81,,,,
0.01,edge_remove,0.14001822471618652,1.4280304908752441,0.9421233527826456,0.09989946470217187,0.19567111313016955,0.9796336810335624,62.968934304667115,0.27400537047568296,0.20108679235842067,0.5111111111111111,0.3888888888888889,0.12222222222222218,23.91304347826086,polynomial,False,True,150.0,3.81,,,,
0.05,edge_remove,0.14629149436950684,1.3378915786743164,0.9061451926802306,0.09262203860094795,0.19567111313016955,0.9332481955141576,124.36220201374844,0.40033026402531,0.15893862899873257,0.5111111111111111,0.36666666666666664,0.14444444444444443,28.26086956521739,polynomial,False,True,150.0,3.81,,,,
0.1,edge_remove,0.137528657913208,1.3544590473175049,0.7886878196049338,0.1129934151277587,0.19567111313016955,0.8130047287340707,204.685156293048,0.6106412767722421,0.15761607760247143,0.5111111111111111,0.23333333333333334,0.27777777777777773,54.347826086956516,polynomial,False,True,150.0,3.81,,,,
0.2,edge_remove,0.1453416347503662,1.4542195796966553,0.5540454460875253,0.15552098958187976,0.12303328864800873,0.5645709890549688,303.82153163374977,0.8585792090118537,0.15341405349781903,0.5111111111111111,0.26666666666666666,0.2444444444444444,47.826086956521735,polynomial,False,True,150.0,3.81,,,,
1.0,node_shuffle,0.11818218231201172,1.3462772369384766,1.0,1.436155484308403e-16,0.9999999999999996,1.0,0.0,0.0,0.0,0.5111111111111111,0.5111111111111111,0.0,0.0,polynomial,False,True,150.0,3.81,,,,
0.01,edge_add,0.2698853015899658,1.4381933212280273,0.9415905978025133,0.10509468631009539,0.13315591032282686,0.978788312228772,63.71510361834116,0.270493683039827,0.2012819609949911,0.5111111111111111,0.5,0.011111111111111072,2.173913043478253,polynomial_with_labels,True,True,150.0,3.81,,,,
