func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic_with_labels,True,250.0,30.3,3.593277931213379,2.8568620681762695,253,Random Forest Raw,1.0,0.4888888888888889,0.48950193325193325,0.7525925925925926,1.0950226783752441,,,,
harmonic_with_labels,True,250.0,30.3,3.593277931213379,2.8568620681762695,253,MLP Raw,0.6372549019607843,0.4,0.3932651321398124,0.7,3.3939645290374756,,,,
polynomial,False,50.0,3.81,4.236482858657837,1.6008939743041992,50,SVM (RBF) Raw,0.5490196078431373,0.36666666666666664,0.35526881720430104,0.6746666666666666,0.28581857681274414,,,,
polynomial,False,50.0,3.81,4.236482858657837,1.6008939743041992,50,Random Forest Raw,1.0,0.5,0.49920350457984874,0.7753333333333332,1.0719616413116455,,,,
polynomial,False,50.0,3.81,4.236482858657837,1.6008939743041992,50,MLP Raw,0.33725490196078434,0.23333333333333334,0.16654138871880808,0.5847407407407407,3.4285895824432373,,,,
polynomial_with_labels,True,50.0,3.81,4.236482858657837,1.6008939743041992,53,SVM (RBF) Raw,0.5607843137254902,0.36666666666666664,0.3576333628057766,0.6786666666666665,0.29120683670043945,,,,
polynomial_with_labels,True,50.0,3.81,4.236482858657837,1.6008939743041992,53,Random Forest Raw,1.0,0.5777777777777777,0.5769408831908833,0.8177777777777778,1.0464074611663818,,,,
polynomial_with_labels,True,50.0,3.81,4.236482858657837,1.6008939743041992,53,MLP Raw,0.27450980392156865,0.2,0.1812696015505047,0.5598518518518519,2.6288046836853027,,,,
polynomial,False,100.0,3.81,3.1966092586517334,1.7767515182495117,100,SVM (RBF) Raw,0.6215686274509804,0.36666666666666664,0.35465227131893795,0.6862222222222222,0.39489316940307617,,,,
polynomial,False,100.0,3.81,3.1966092586517334,1.7767515182495117,100,Random Forest Raw,1.0,0.5333333333333333,0.5338587848932678,0.776,1.0066461563110352,,,,
